Rainfall,Flow Rate,Water Level
0.0,2.355,0.5
0.0,2.368,0.501
0.0,2.38,0.502
0.0,2.395,0.503
0.0,2.406,0.504
0.0,2.421,0.505
0.0,2.435,0.506
0.0,2.449,0.507
0.0,2.462,0.508
0.0,2.473,0.509
0.0,2.486,0.51
0.0,2.5,0.511
0.0,2.514,0.512
0.0,2.527,0.513
0.0,2.539,0.514
0.0,2.551,0.515
0.0,2.565,0.516
0.0,2.575,0.517
0.0,2.587,0.518
0.0,2.597,0.519
0.0,2.609,0.52
0.0,2.62,0.521
0.0,2.632,0.522
0.0,2.645,0.523
0.0,2.654,0.523
0.0,2.664,0.524
0.0,2.676,0.525
0.0,2.686,0.526
0.0,2.698,0.527
0.0,2.71,0.527
0.0,2.723,0.528
0.0,2.734,0.529
0.0,2.743,0.53
0.0,2.755,0.531
0.0,2.767,0.532
0.0,2.776,0.532
0.2,2.724,0.528
0.2,2.674,0.525
0.0,2.687,0.526
0.0,2.699,0.527
0.2,2.65,0.523
0.0,2.662,0.524
0.2,2.611,0.52
0.2,2.564,0.516
0.0,2.576,0.517
0.2,2.529,0.514
0.2,2.482,0.51
0.0,2.493,0.511
0.2,2.444,0.507
0.0,2.456,0.508
0.0,2.467,0.509
0.0,2.479,0.51
0.2,2.435,0.506
0.0,2.447,0.507
0.0,2.46,0.508
0.0,2.475,0.509
0.0,2.489,0.511
0.0,2.501,0.511
0.0,2.512,0.512
0.0,2.523,0.513
0.0,2.536,0.514
0.2,2.491,0.511
0.0,2.502,0.512
0.2,2.457,0.508
0.0,2.469,0.509
0.0,2.478,0.51
0.0,2.487,0.51
0.0,2.499,0.511
0.0,2.508,0.512
0.0,2.52,0.513
0.0,2.53,0.514
0.0,2.54,0.515
0.0,2.55,0.515
0.0,2.562,0.516
0.0,2.572,0.517
0.0,2.582,0.518
0.0,2.594,0.519
0.0,2.604,0.519
0.0,2.614,0.52
0.0,2.625,0.521
0.0,2.633,0.522
0.0,2.642,0.522
0.0,2.652,0.523
0.0,2.662,0.524
0.0,2.67,0.524
0.0,2.678,0.525
0.0,2.687,0.526
0.0,2.697,0.526
0.0,2.704,0.527
0.0,2.712,0.528
0.0,2.72,0.528
0.0,2.73,0.529
0.0,2.738,0.53
0.0,2.747,0.53
0.0,2.754,0.531
0.0,2.764,0.531
0.0,2.764,0.531
0.0,2.787,0.533
0.0,2.81,0.535
0.0,2.832,0.536
0.0,2.856,0.538
0.0,2.88,0.54
0.0,2.905,0.542
0.0,2.93,0.544
0.0,2.953,0.545
0.0,2.977,0.547
0.0,3.0,0.549
0.0,3.026,0.55
0.0,3.051,0.552
0.0,3.075,0.554
0.0,3.102,0.556
0.0,3.128,0.558
0.0,3.153,0.559
0.0,3.179,0.561
0.0,3.205,0.563
0.0,3.23,0.565
0.0,3.256,0.567
0.0,3.283,0.568
0.0,3.311,0.57
0.0,3.338,0.572
0.0,3.365,0.574
0.0,3.394,0.576
0.0,3.423,0.578
0.0,3.449,0.58
0.0,3.475,0.581
0.0,3.501,0.583
0.0,3.528,0.585
0.0,3.554,0.587
0.0,3.582,0.588
0.0,3.612,0.59
0.0,3.641,0.592
0.0,3.67,0.594
0.0,3.699,0.596
0.0,3.729,0.598
0.0,3.76,0.6
0.0,3.793,0.602
0.0,3.822,0.604
0.0,3.851,0.606
0.0,3.879,0.608
0.0,3.913,0.61
0.0,3.945,0.612
0.0,3.977,0.614
0.0,4.009,0.616
0.0,4.04,0.618
0.0,4.073,0.62
0.0,4.107,0.622
0.0,4.137,0.624
0.0,4.169,0.626
0.0,4.205,0.628
0.0,4.238,0.63
0.0,4.271,0.632
0.0,4.304,0.634
0.0,4.336,0.636
0.0,4.371,0.638
0.0,4.404,0.64
0.0,4.44,0.642
0.0,4.472,0.644
0.0,4.507,0.646
0.0,4.543,0.648
0.0,4.577,0.65
0.0,4.611,0.652
0.0,4.65,0.655
0.0,4.685,0.657
0.0,4.72,0.659
0.0,4.756,0.661
0.0,4.792,0.663
0.0,4.83,0.665
0.0,4.863,0.667
0.0,4.903,0.669
0.0,4.937,0.671
0.0,4.977,0.673
0.0,5.015,0.676
0.0,5.055,0.678
0.0,5.096,0.68
0.0,5.135,0.682
0.0,5.174,0.684
0.0,5.215,0.687
0.0,5.26,0.689
0.0,5.297,0.691
0.0,5.341,0.694
0.0,5.382,0.696
0.0,5.421,0.698
0.0,5.462,0.7
0.0,5.502,0.703
0.0,5.543,0.705
0.0,5.581,0.707
0.0,5.621,0.709
0.0,5.662,0.711
0.0,5.704,0.713
0.0,5.746,0.716
0.0,5.789,0.718
0.0,5.834,0.72
0.0,5.834,0.72
0.0,5.781,0.718
0.0,5.728,0.715
0.0,5.68,0.712
0.0,5.632,0.71
0.0,5.583,0.707
0.0,5.537,0.704
0.0,5.486,0.702
0.0,5.439,0.699
0.0,5.393,0.697
0.0,5.344,0.694
0.0,5.298,0.691
0.0,5.252,0.689
0.0,5.206,0.686
0.0,5.161,0.684
0.0,5.117,0.681
0.0,5.072,0.679
0.0,5.025,0.676
0.0,4.982,0.674
0.0,4.938,0.671
0.0,4.894,0.669
0.0,4.852,0.666
0.0,4.807,0.664
0.0,4.764,0.661
0.0,4.721,0.659
0.0,4.679,0.656
0.0,4.635,0.654
0.0,4.592,0.651
0.0,4.552,0.649
0.0,4.509,0.646
0.0,4.466,0.644
0.0,4.424,0.641
0.0,4.382,0.639
0.0,4.341,0.636
0.0,4.3,0.634
0.0,4.263,0.631
0.0,4.225,0.629
0.0,4.189,0.627
0.0,4.152,0.625
0.0,4.116,0.622
0.0,4.079,0.62
0.0,4.043,0.618
0.0,4.005,0.616
0.0,3.966,0.613
0.0,3.933,0.611
0.0,3.898,0.609
0.0,3.861,0.606
0.0,3.823,0.604
0.0,3.786,0.602
0.0,3.751,0.599
0.0,3.72,0.597
0.0,3.687,0.595
0.0,3.655,0.593
0.0,3.62,0.591
0.0,3.586,0.589
0.0,3.554,0.587
0.0,3.521,0.584
0.0,3.49,0.582
0.0,3.455,0.58
0.0,3.421,0.578
0.0,3.386,0.575
0.0,3.355,0.573
0.0,3.322,0.571
0.0,3.291,0.569
0.0,3.261,0.567
0.0,3.228,0.565
0.0,3.2,0.563
0.0,3.17,0.561
0.0,3.139,0.558
0.0,3.109,0.556
0.0,3.081,0.554
0.0,3.052,0.552
0.0,3.023,0.55
0.0,2.994,0.548
0.0,2.965,0.546
0.0,2.936,0.544
0.0,2.907,0.542
0.0,2.879,0.54
0.0,2.85,0.538
0.0,2.822,0.536
0.0,2.794,0.534
0.0,2.766,0.532
0.0,2.739,0.53
0.0,2.712,0.528
0.0,2.685,0.526
0.0,2.658,0.523
0.0,2.632,0.522
0.0,2.605,0.519
0.0,2.578,0.517
0.0,2.55,0.515
0.0,2.523,0.513
0.0,2.498,0.511
0.0,2.473,0.509
0.0,2.449,0.507
0.0,2.423,0.505
0.0,2.397,0.503
0.0,2.397,0.503
