date,gdf(m3/s)
1995-10-02,2.789
1995-10-03,3.450
1995-10-04,10.880
1995-10-05,13.930
1995-10-06,14.670
1995-10-07,6.100
1995-10-08,3.092
1995-10-09,1.895
1995-10-10,1.278
1995-10-11,3.216
1995-10-12,3.598
1995-10-13,6.189
1995-10-14,2.230
1995-10-15,5.671
1995-10-16,14.000
1995-10-17,7.957
1995-10-18,2.358
1995-10-19,5.228
1995-10-20,3.216
1995-10-21,6.106
1995-10-22,13.860
1995-10-23,7.946
1995-10-24,19.050
1995-10-25,7.302
1995-10-26,12.650
1995-10-27,5.669
1995-10-28,2.791
1995-10-29,1.778
1995-10-30,1.419
1995-10-31,1.436
1995-11-01,1.206
1995-11-02,0.948
1995-11-03,0.788
1995-11-04,0.668
1995-11-05,0.585
1995-11-06,0.535
1995-11-07,0.687
1995-11-08,1.722
1995-11-09,1.851
1995-11-10,2.286
1995-11-11,1.560
1995-11-12,2.326
1995-11-13,1.179
1995-11-14,0.851
1995-11-15,8.279
1995-11-16,3.455
1995-11-17,1.285
1995-11-18,1.056
1995-11-19,1.256
1995-11-20,2.453
1995-11-21,3.965
1995-11-22,2.034
1995-11-23,1.632
1995-11-24,11.500
1995-11-25,10.280
1995-11-26,4.715
1995-11-27,3.016
1995-11-28,2.834
1995-11-29,1.458
1995-11-30,1.044
1995-12-01,,M
1995-12-02,,M
1995-12-03,,M
1995-12-04,,M
1995-12-05,,M
1995-12-06,,M
1995-12-07,,M
1995-12-08,,M
1995-12-09,,M
1995-12-10,,M
1995-12-11,,M
1995-12-12,,M
1995-12-13,,M
1995-12-14,,M
1995-12-15,,M
1995-12-16,,M
1995-12-17,,M
1995-12-18,,M
1995-12-19,,M
1995-12-20,,M
1995-12-21,,M
1995-12-22,,M
1995-12-23,,M
1995-12-24,,M
1995-12-25,,M
1995-12-26,,M
1995-12-27,,M
1995-12-28,,M
1995-12-29,,M
1995-12-30,,M
1995-12-31,,M
1996-01-01,4.151
1996-01-02,1.935
1996-01-03,3.439
1996-01-04,6.933
1996-01-05,13.020
1996-01-06,15.670
1996-01-07,1.935
1996-01-08,3.439
1996-01-09,6.933
1996-01-10,13.020
1996-01-11,15.690
1996-01-12,3.866
1996-01-13,2.717
1996-01-14,2.131
1996-01-15,3.755
1996-01-16,4.264
1996-01-17,3.803
1996-01-18,1.499
1996-01-19,1.045
1996-01-20,0.905
1996-01-21,0.874
1996-01-22,0.843
1996-01-23,0.790
1996-01-24,0.652
1996-01-25,0.535
1996-01-26,0.464
1996-01-27,0.431
1996-01-28,0.411
1996-01-29,0.370
1996-01-30,0.343
1996-01-31,0.323
1996-02-01,0.299
1996-02-02,0.272
1996-02-03,0.235
1996-02-04,1.022
1996-02-05,20.710
1996-02-06,6.855
1996-02-07,3.048
1996-02-08,3.593
1996-02-09,16.220
1996-02-10,10.760
1996-02-11,11.180
1996-02-12,8.594
1996-02-13,2.429
1996-02-14,1.388
1996-02-15,14.980
1996-02-16,8.173
1996-02-17,11.050
1996-02-18,4.471
1996-02-19,1.722
1996-02-20,1.083
1996-02-21,3.420
1996-02-22,2.529
1996-02-23,1.472
1996-02-24,1.436
1996-02-25,1.838
1996-02-26,1.453
1996-02-27,1.181
1996-02-28,0.959
1996-02-29,0.833
1996-03-01,0.666
1996-03-02,0.563
1996-03-03,0.487
1996-03-04,0.428
1996-03-05,0.384
1996-03-06,0.355
1996-03-07,0.324
1996-03-08,0.293
1996-03-09,0.307
1996-03-10,0.369
1996-03-11,4.104
1996-03-12,18.550
1996-03-13,2.745
1996-03-14,1.401
1996-03-15,1.179
1996-03-16,5.302
1996-03-17,4.699
1996-03-18,2.649
1996-03-19,1.546
1996-03-20,1.112
1996-03-21,0.844
1996-03-22,0.684
1996-03-23,0.604
1996-03-24,0.510
1996-03-25,0.440
1996-03-26,0.373
1996-03-27,0.332
1996-03-28,0.350
1996-03-29,0.304
1996-03-30,0.274
1996-03-31,0.256
1996-04-01,0.234
1996-04-02,0.220
1996-04-03,0.215
1996-04-04,0.207
1996-04-05,0.191
1996-04-06,0.179
1996-04-07,0.172
1996-04-08,0.173
1996-04-09,0.181
1996-04-10,0.660
1996-04-11,0.455
1996-04-12,0.728
1996-04-13,1.033
1996-04-14,8.944
