date,min_level,avg_level,max_level
2017-03-31,0.737,1.091,1.652
2017-04-01,0.470,0.559,0.730
2017-04-02,0.389,0.424,0.468
2017-04-03,0.368,0.376,0.389
2017-04-04,0.355,0.371,0.380
2017-04-05,0.329,0.341,0.356
2017-04-06,0.322,0.325,0.329
2017-04-07,0.326,0.327,0.327
2017-04-08,0.317,0.320,0.323
2017-04-09,0.302,0.305,0.307
2017-04-10,0.313,0.316,0.319
2017-04-11,0.301,0.303,0.307
2017-04-12,0.296,0.398,0.659
2017-04-13,0.376,0.404,0.455
2017-04-14,0.366,0.369,0.375
2017-04-15,0.351,0.378,0.401
2017-04-16,0.343,0.348,0.368
2017-04-17,0.476,0.522,0.582
2017-04-18,0.373,0.386,0.402
2017-04-19,0.334,0.340,0.346
2017-04-20,0.334,0.336,0.337
2017-04-21,0.325,0.329,0.333
2017-04-22,0.304,0.316,0.328
2017-04-23,0.298,0.301,0.304
2017-04-24,0.290,0.294,0.297
2017-04-26,0.272,0.274,0.277
2017-04-27,0.270,0.271,0.272
2017-04-28,0.263,0.265,0.267
2017-04-29,0.259,0.261,0.263
2017-04-30,0.257,0.258,0.259
2017-05-01,0.249,0.251,0.253
2017-05-02,0.247,0.248,0.249
2017-05-03,0.243,0.244,0.247
2017-05-04,0.239,0.241,0.243
2017-05-05,0.237,0.238,0.240
2017-05-06,0.233,0.234,0.235
2017-05-07,0.232,0.233,0.233
2017-05-08,0.230,0.231,0.231
2017-05-09,0.227,0.229,0.229
2017-05-10,0.227,0.227,0.228
2017-05-11,0.227,0.227,0.227
2017-05-12,0.225,0.225,0.226
2017-05-13,0.231,0.234,0.239
2017-05-14,0.238,0.242,0.245
2017-05-15,0.249,0.582,1.061
2017-05-16,0.451,0.488,0.577
2017-05-17,0.414,0.437,0.466
2017-05-18,0.346,0.357,0.369
2017-05-19,0.313,0.319,0.326
2017-05-20,0.289,0.292,0.297
2017-05-21,0.273,0.276,0.280
2017-05-22,0.275,0.278,0.281
2017-05-23,0.288,0.291,0.292
2017-05-24,0.289,0.295,0.300
2017-05-27,0.252,0.255,0.257
2017-05-28,0.245,0.249,0.253
2017-05-29,0.243,0.250,0.272
2017-05-30,0.273,0.286,0.293
2017-05-31,0.281,0.299,0.315
2017-06-01,0.273,0.368,0.798
2017-06-02,0.590,0.705,0.808
2017-06-03,0.379,0.406,0.441
2017-06-04,0.379,0.397,0.417
2017-06-05,0.345,0.595,0.760
2017-06-06,0.509,0.532,0.592
2017-06-07,0.508,0.568,0.645
2017-06-08,0.401,0.429,0.491
2017-06-09,0.493,0.522,0.537
2017-06-10,0.517,0.697,1.423
2017-06-11,0.545,0.591,0.651
2017-06-12,0.691,0.751,0.784
2017-06-13,0.423,0.465,0.522
2017-06-14,0.400,0.410,0.422
2017-06-15,0.362,0.366,0.371
2017-06-16,0.363,0.390,0.413
2017-06-17,0.362,0.388,0.413
2017-06-18,0.347,0.354,0.361
2017-06-22,0.284,0.288,0.293
2017-06-23,0.287,0.386,0.436
2017-06-24,0.318,0.348,0.389
2017-06-25,0.293,0.304,0.317
2017-06-26,0.288,0.290,0.293
2017-07-19,0.281,0.304,0.412
2017-07-20,0.395,0.484,0.562
2017-07-21,0.360,0.479,0.801
2017-07-22,0.445,0.555,0.794
2017-07-23,0.402,0.421,0.443
2017-07-24,0.340,0.348,0.358
2017-07-25,0.294,0.304,0.313
2017-07-26,0.291,0.679,1.240
2017-07-27,0.474,0.525,0.596
2017-08-07,0.433,0.482,0.521
2017-08-08,0.356,0.396,0.447
2017-08-09,0.315,0.335,0.356
2017-08-10,0.296,0.307,0.315
2017-08-11,0.295,0.297,0.303
2017-08-12,0.307,0.318,0.323
2017-08-13,0.285,0.295,0.306
2017-08-14,0.283,0.359,0.723
2017-08-15,0.499,0.570,0.675
2017-09-27,0.352,0.670,1.451
2017-09-28,0.532,0.899,1.701
2017-09-29,0.523,0.780,1.324
2017-09-30,0.425,0.479,0.532
2017-10-01,0.411,0.417,0.438
2017-10-02,0.604,0.617,0.642
2017-10-03,0.475,0.494,0.515
2017-10-04,0.419,0.845,1.483
2017-10-05,0.782,1.066,1.387
2017-10-06,0.480,0.510,0.544
2017-10-07,0.447,0.497,0.535
2017-10-08,0.467,0.484,0.499
2017-10-09,0.464,0.467,0.473
2017-10-10,0.452,0.486,0.496
2017-10-11,0.657,0.772,0.901
2017-10-12,0.681,0.789,0.977
2017-10-13,0.494,0.516,0.547
2017-10-14,0.468,0.496,0.527
2017-10-15,0.408,0.417,0.427
2017-10-16,0.379,0.382,0.387
2017-10-17,0.655,0.865,1.090
2017-10-18,0.486,0.523,0.575
2017-10-19,0.435,0.546,0.617
2017-10-20,0.583,0.695,0.745
2017-10-21,0.924,1.151,1.399
2017-10-22,1.041,1.501,1.771
2017-10-23,0.564,0.617,0.725
2017-10-24,0.561,0.588,0.619
2017-10-25,0.525,0.559,0.583
2017-10-26,0.445,0.457,0.471
2017-10-27,0.398,0.406,0.415
2017-10-28,0.379,0.444,0.555
2017-10-29,0.513,0.573,0.639
2017-10-30,0.405,0.418,0.432
2017-10-31,0.384,0.388,0.396
2017-11-01,0.441,0.540,0.929
2017-11-02,0.575,0.655,0.755
2017-11-03,0.429,0.445,0.463
2017-11-04,0.403,0.427,0.453
2017-11-05,0.511,0.565,0.629
2017-11-06,0.429,0.446,0.469
2017-11-07,0.432,0.836,1.135
2017-11-08,0.521,0.534,0.563
2017-11-09,0.583,0.780,0.903
2017-11-10,0.495,0.568,0.654
2017-11-11,0.446,0.467,0.493
2017-11-12,0.417,0.454,0.500
2017-11-13,0.405,0.419,0.437
2017-11-14,0.442,0.529,0.607
2017-11-15,0.433,0.456,0.483
